CR,AC,HP,Attack,Damage,DC,Save
0,2d4+7 (12),2d2+0 (3),2d3+-2 (2),2d2-2 (1),2d3+5 (9),2d3+-3 (1)
1/8,2d4+7 (12),3d4+1 (9),2d3+-1 (3),2d2+0 (3),2d3+6 (10),2d3+-2 (2)
1/4,2d4+8 (13),3d6+4 (15),2d3+-1 (3),3d3-1 (5),2d3+6 (10),2d3+-2 (2)
1/2,2d4+8 (13),4d7+8 (24),2d3+0 (4),4d3+0 (8),2d3+7 (11),2d3+-1 (3)
1,2d4+8 (13),4d9+10 (30),2d3+0 (4),4d4+0 (10),2d3+7 (11),2d3+-1 (3)
2,2d4+8 (13),3d16+19 (45),2d3+1 (5),3d5+6 (15),2d3+8 (12),2d3+0 (4)
3,2d4+9 (14),4d18+25 (60),2d3+1 (5),4d6+7 (20),2d3+8 (12),2d3+0 (4)
4,2d4+9 (14),4d22+30 (75),2d3+2 (6),3d8+10 (25),2d3+9 (13),2d3+1 (5)
5,2d4+9 (14),4d26+36 (90),2d3+2 (6),4d9+11 (30),2d3+9 (13),2d3+1 (5)
6,2d4+10 (15),4d31+44 (105),2d3+3 (7),3d11+15 (35),2d3+10 (14),2d3+2 (6)
7,2d4+10 (15),4d35+49 (120),2d3+3 (7),4d12+16 (40),2d3+10 (14),2d3+2 (6)
8,2d4+10 (15),4d35+49 (120),2d3+4 (8),4d12+16 (40),2d3+11 (15),2d3+3 (7)
9,2d4+11 (16),4d39+55 (135),2d3+4 (8),3d14+19 (45),2d3+11 (15),2d3+3 (7)
10,2d4+11 (16),4d44+63 (150),2d3+5 (9),4d15+20 (50),2d3+12 (16),2d3+4 (8)
11,2d4+11 (16),4d48+68 (165),2d3+5 (9),4d16+21 (55),2d3+12 (16),2d3+4 (8)
12,2d4+12 (17),4d52+74 (180),2d3+6 (10),4d18+25 (60),2d3+13 (17),2d3+5 (9)
13,2d4+12 (17),4d57+82 (195),2d3+6 (10),4d19+26 (65),2d3+13 (17),2d3+5 (9)
14,2d4+12 (17),4d61+88 (210),2d3+7 (11),4d21+29 (70),2d3+14 (18),2d3+6 (10)
15,2d4+13 (18),4d65+93 (225),2d3+7 (11),4d22+30 (75),2d3+14 (18),2d3+6 (10)
16,2d4+13 (18),4d70+101 (240),2d3+8 (12),4d24+34 (80),2d3+15 (19),2d3+7 (11)
17,2d4+13 (18),4d74+107 (255),2d3+8 (12),4d25+35 (85),2d3+15 (19),2d3+7 (11)
18,2d4+14 (19),4d78+112 (270),2d3+9 (13),4d26+36 (90),2d3+16 (20),2d3+8 (12)
19,2d4+14 (19),4d83+120 (285),2d3+9 (13),4d28+39 (95),2d3+16 (20),2d3+8 (12)
20,2d4+14 (19),4d87+126 (300),2d3+10 (14),4d29+40 (100),2d3+17 (21),2d3+9 (13)
21,2d4+15 (20),4d91+131 (315),2d3+10 (14),4d31+44 (105),2d3+17 (21),2d3+9 (13)
22,2d4+15 (20),4d96+139 (330),2d3+11 (15),4d32+45 (110),2d3+18 (22),2d3+10 (14)
23,2d4+15 (20),4d100+145 (345),2d3+11 (15),4d34+48 (115),2d3+18 (22),2d3+10 (14)
24,2d4+16 (21),4d104+150 (360),2d3+12 (16),4d35+49 (120),2d3+19 (23),2d3+11 (15)
25,2d4+16 (21),4d109+158 (375),2d3+12 (16),4d37+53 (125),2d3+19 (23),2d3+11 (15)
26,2d4+16 (21),4d113+164 (390),2d3+13 (17),4d38+54 (130),2d3+20 (24),2d3+12 (16)
27,2d4+17 (22),4d117+169 (405),2d3+13 (17),4d39+55 (135),2d3+20 (24),2d3+12 (16)
28,2d4+17 (22),4d122+177 (420),2d3+14 (18),4d41+58 (140),2d3+21 (25),2d3+13 (17)
29,2d4+17 (22),4d126+183 (435),2d3+14 (18),4d42+60 (145),2d3+21 (25),2d3+13 (17)
30,2d4+18 (23),4d130+188 (450),2d3+15 (19),4d44+63 (150),2d3+22 (26),2d3+14 (18)
